,Variable Name,Description
0,RECTYPE,File type identifier
1,SRVY_YR,Year of National Health Interview Survey
2,HHX,Household Number
3,INTV_QRT,Interview Quarter
4,INTV_MON,Assignment/Interview Month
5,FMX,Family Number
6,FPX,Person Number (Within family)
7,WTIA_SA,Weight - Interim Annual
8,WTFA_SA,Weight - Final Annual
9,REGION,Region
10,PSTRAT,Pseudo-stratum for public-use file variance estimation
11,PPSU,Pseudo-PSU for public-use file variance estimation
12,SEX,Sex
13,HISPAN_I,Hispanic subgroup detail
14,RACERPI2,OMB groups w/multiple race
15,MRACRPI2,Race coded to single/multiple race group
16,MRACBPI2,Race coded to single/multiple race group
17,AGE_P,Age
18,R_MARITL,Marital Status
19,PAR_STAT,Sample adult is parent to 1+ minor child(ren) in the family
20,PROXYSA,Sample adult status
21,PROX1,Knowledgeable proxy for Sample Adult available
22,PROX2,Relationship of SA proxy to SA
23,LATEINTA,Late Sample Adult interviews
24,FDRN_FLG,Disability Questions flag
25,DOINGLWA,Corrected employment status last week
26,WHYNOWKA,Main reason for not working last week
27,EVERWRK,Ever worked
28,INDSTRN1,Detailed industry classification based on 2012 Census codes
29,INDSTRN2,Simple industry classification based on 2012 Census codes
30,OCCUPN1,Detailed occupation classification based on 2010 Census Codes
31,OCCUPN2,Simple occupation classification based on 2010 Census codes
32,SUPERVIS,Supervise other employees as part of job
33,WRKCATA,Class of worker
34,BUSINC1A,Current job an incorporated business
35,LOCALL1B,Number of employees at work
36,YRSWRKPA,Number of years on the job
37,WRKLONGH,Current/most recent job also longest held job
38,HOURPDA,Paid by the hour at current or most recent job
39,PDSICKA,Paid sick leave at current or most recent job
40,ONEJOB,Have more than one job
41,WRKLYR4,"Work status: last week, past 12 months"
42,HYPEV,Ever been told you have hypertension
43,HYPDIFV,Ever had hypertension on 2+ visits
44,HYPYR1,"Had hypertension, past 12 months"
45,HYBPCKNO,Last time blood pressure checked by health professional (# units)
46,HYBPCKTP,Last time blood pressure checked by health professional (time units)
47,HYBPLEV,Results of last blood pressure check
48,HYPMDEV2,Ever prescribed medicine for high blood pressure
49,HYPMED2,Now taking prescribed medicine for high blood pressure
50,CHLEV,Ever told you had high cholesterol
51,CHLYR,"Had high cholesterol, past 12 months"
52,CLCKNO,How long since blood cholesterol checked by health professional (# units)
53,CLCKTP,How long since blood cholesterol checked by health professional (time units)
54,CHLMDEV2,Ever prescribed medicine to lower cholesterol
55,CHLMDNW2,Now taking prescribed medicine to lower cholesterol
56,CHDEV,Ever been told you had coronary heart disease
57,ANGEV,Ever been told you had angina pectoris
58,MIEV,Ever been told you had a heart attack
59,HRTEV,Ever been told you had a heart condition/disease
60,STREV,Ever been told you had a stroke
61,EPHEV,Ever been told you had emphysema
62,JAWP,"Jaw, neck, or back pain a symptom of heart attack"
63,WEA,"Feeling weak, lightheaded, or faint a symptom of heart attack"
64,CHE,Chest pain or discomfort a symptom of heart attack
65,ARM,Pain or discomfort in arms or shoulder a symptom of heart attack
66,BRTH,Shortness of breath a symptom of heart attack
67,AHADO,What is best thing to do if someone is having a heart attack
68,FACE,Sudden numbness of face/arm/leg a symptom of having stroke
69,SPEAKING,Sudden confusion or trouble speaking a symptom of having stroke
70,EYE,Sudden trouble seeing in one/both eyes a symptom of having stroke
71,WALKING,Sudden trouble walking/dizziness/loss of balance  symptom of having stroke
72,HEADACHE,Sudden severe headache with no known cause a symptom of having stroke
73,ASTDO,What is best thing to do if someone is having a stroke
74,COPDEV,Ever been told you had COPD
75,ASPMEDEV,Ever been told to take low-dose aspirin
76,ASPMEDAD,Following low-dose aspirin advice
77,ASPMDMED,Advised to stop taking low-dose aspirin
78,ASPONOWN,Taking low-dose aspirin on own
79,AASMEV,Ever been told you had asthma
80,AASSTILL,Still have asthma
81,AASMYR,Had an asthma episode/attack past 12 m
82,AASERYR1,Had visit to ER due to asthma past 12 m
83,ULCEV,Ever been told you have an ulcer
84,ULCYR,Had ulcer in past 12 m
85,CANEV,Ever told by a doctor you had cancer
86,CNKIND1,What kind of cancer ... Bladder
87,CNKIND2,What kind of cancer ... Blood
88,CNKIND3,What kind of cancer ... Bone
89,CNKIND4,What kind of cancer ... Brain
90,CNKIND5,What kind of cancer ... Breast
91,CNKIND6,What kind of cancer ... Cervix
92,CNKIND7,What kind of cancer ... Colon
93,CNKIND8,What kind of cancer ... Esophagus
94,CNKIND9,What kind of cancer ... Gallbladder
95,CNKIND10,What kind of cancer ... Kidney
96,CNKIND11,What kind of cancer ... larynx-windpipe
97,CNKIND12,What kind of cancer ... Leukemia
98,CNKIND13,What kind of cancer ... Liver
99,CNKIND14,What kind of cancer ... Lung
100,CNKIND15,What kind of cancer ... Lymphoma
101,CNKIND16,What kind of cancer ... Melanoma
102,CNKIND17,What kind of cancer ... mouth/tongue/lip
103,CNKIND18,What kind of cancer ... Ovary
104,CNKIND19,What kind of cancer ... Pancreas
105,CNKIND20,What kind of cancer ... Prostate
106,CNKIND21,What kind of cancer ... Rectum
107,CNKIND22,What kind of cancer ... skin (non-melanoma)
108,CNKIND23,What kind of cancer ... skin (DK kind)
109,CNKIND24,What kind of cancer ... soft tissue (muscle or fat)
110,CNKIND25,What kind of cancer ... Stomach
111,CNKIND26,What kind of cancer ... Testis
112,CNKIND27,What kind of cancer ... throat - pharynx
113,CNKIND28,What kind of cancer ... Thyroid
114,CNKIND29,What kind of cancer ... Uterus
115,CNKIND30,What kind of cancer ... Other
116,CNKIND31,What kind of cancer ... more than 3 kinds
117,CANAGE1,Age first diagnosed w/bladder cancer
118,CANAGE2,Age first diagnosed w/blood cancer
119,CANAGE3,Age first diagnosed w/bone cancer
120,CANAGE4,Age first diagnosed w/brain cancer
121,CANAGE5,Age first diagnosed w/breast cancer
122,CANAGE6,Age first diagnosed w/cervical cancer
123,CANAGE7,Age first diagnosed w/colon cancer
124,CANAGE8,Age first diagnosed w/esophageal cancer
125,CANAGE9,Age first diagnosed w/gallbladder cancer
126,CANAGE10,Age first diagnosed w/kidney cancer
127,CANAGE11,Age first diagnosed w/larynx-windpipe cancer
128,CANAGE12,Age first diagnosed w/leukemia
129,CANAGE13,Age first diagnosed w/liver cancer
130,CANAGE14,Age first diagnosed w/lung cancer
131,CANAGE15,Age first diagnosed w/lymphoma
132,CANAGE16,Age first diagnosed w/melanoma
133,CANAGE17,Age first diagnosed w/mouth/tongue/lip cancer
134,CANAGE18,Age first diagnosed w/ovarian cancer
135,CANAGE19,Age first diagnosed w/pancreatic cancer
136,CANAGE20,Age first diagnosed w/prostate cancer
137,CANAGE21,Age first diagnosed w/rectal cancer
138,CANAGE22,Age first diagnosed w/skin (non-melanoma) cancer
139,CANAGE23,Age first diagnosed w/skin (DK kind) cancer
140,CANAGE24,Age first diagnosed w/soft tissue cancer
141,CANAGE25,Age first diagnosed w/stomach cancer
142,CANAGE26,Age first diagnosed w/testicular cancer
143,CANAGE27,Age first diagnosed w/throat/pharynx cancer
144,CANAGE28,Age first diagnosed w/thyroid cancer
145,CANAGE29,Age first diagnosed w/uterine cancer
146,CANAGE30,Age first diagnosed w/other cancer
147,PREGEVER,Ever been pregnant
148,DBHVPAY,"Told to increase physical activity, past 12 m"
149,DBHVCLY,"Told to reduce fat/calories in diet, past 12 m"
150,DBHVWLY,"Told to participate in weight loss program, past 12 m"
151,DBHVPAN,Currently increasing physical activity
152,DBHVCLN,Currently reducing fat/calories in diet
153,DBHVWLN,Currently participating in weight loss program
154,DIBREL,Blood relative ever had diabetes
155,DIBEV1,Ever been told that you have diabetes
156,DIBPRE2,Ever had prediabetes or other symptoms
157,DIBTEST,Time since last had blood test for high blood sugar/diabetes
158,DIBAGE1,Age first diagnosed w/diabetes
159,DIFAGE2,Years since first diagnosed w/diabetes
160,DIBTYPE,Type of diabetes
161,DIBPILL1,NOW taking diabetic pills
162,INSLN1,NOW taking insulin
163,DIBINS2,Length of time before started insulin after diagnosed w/ diabetes
