,Variable Name,Description
0,RECTYPE,Record type
1,SRVY_YR,Year of the National Health Interview Survey
2,HHX,Randomly assigned household number unique to a household
3,WTIA_A,Weight - annual pre-post stratification calibration
4,WTFA_A,Weight - Final Annual
5,URBRRL,2013 NCHS Urban-Rural Classification Scheme for Counties
6,REGION,Household region
7,PSTRAT,Pseudo-stratum for public-use file variance estimation
8,PPSU,Pseudo-PSU for public-use file variance estimation
9,INTV_QRT,Interview quarter
10,HHSTAT_A,Indicates person is the Sample Adult
11,ASTATNEW,Recoded ASTAT
12,AVAIL_A,Sample Adult Available
13,PROXY_A,Proxy Available
14,PROXYREL_A,Proxy's Relationship to Sample Adult
15,HHRESPSA_FLG,"Sample Adult is the household respondent or the proxywho lives in the household"
16,AGEP_A,Age of SA (top coded)
17,AGE65,Age 65 or older
18,SEX_A,Sex of Sample Adult
19,EDUC_A,Educational level of sample adult
20,AFNOW,Full-time active duty screener
21,HISP_A,Recode: Hispanic ethnicity of SA
22,HISPALLP_A,Single and multiple race groups with Hispanic origin
23,HISDETP_A,Hispanic origin detail
24,RACEALLP_A,Single and multiple race groups
25,PCNTTC,Top-coded count of all non-deleted household members
26,PCNT18UPTC,Top-coded count of persons 18 or older in the household
27,PCNTLT18TC,Top-coded count of persons under 18 in the household
28,PCNTFAM_A,"Number of persons in Sample Adult family, top-coded 6+"
29,PCNTADLT_A,"Number of adults in Sample Adult family, top-coded 3+"
30,PCNTKIDS_A,"Number of children in Sample Adult family, top-coded 3+"
31,OVER65FLG_A,Indicator for at least 1 person aged 65+ in SA family
32,MLTFAMFLG_A,Indicator for multifamily households
33,MAXEDUC_A,"Highest level of education of all the adults in SA'sfamily"
34,PHSTAT_A,General health status
35,HYPEV_A,Ever been told you had hypertension
36,HYPDIF_A,Told had hypertension on two or more visits
37,HYP12M_A,"Hypertension, past 12 months"
38,HYPMED_A,Now taking high blood pressure medication
39,CHLEV_A,Ever told you had high cholesterol
40,CHL12M_A,"High cholesterol, past 12 months"
41,CHLMED_A,Now taking cholesterol medication
42,CHDEV_A,Ever been told you had coronary heart disease
43,ANGEV_A,Ever been told you had angina
44,MIEV_A,Ever been told you had a heart attack
45,STREV_A,Ever been told you had a stroke
46,ASPMEDEV_A,Told to take low-dose aspirin
47,ASPMEDNOWN_A,Now following aspirin advice
48,ASPMEDSTP_A,Advise to stop taking aspirin
49,ASPONOWN_A,Taking low dose-aspirin on own
50,ASEV_A,Ever had asthma
51,ASTILL_A,Still have asthma
52,ASAT12M_A,Asthma episode
53,ASER12M_A,Asthma ER visit
54,CANEV_A,Ever been told you had cancer
55,BLADDCAN_A,Bladder cancer mentioned
56,BLADDAGETC_A,Age when first told had bladder cancer
57,BLOODCAN_A,Blood cancer mentioned
58,BLOODAGETC_A,Age when first told had blood cancer
59,BONECAN_A,Bone cancer mentioned
60,BONEAGETC_A,Age when first told had bone cancer
61,BRAINCAN_A,Brain cancer mentioned
62,BRAINAGETC_A,Age when first told had brain cancer
63,BREASCAN_A,Breast cancer mentioned
64,BREASAGETC_A,Age when first told had breast cancer
65,CERVICAN_A,Cervical cancer mentioned
66,CERVIAGETC_A,Age when first told had cervical cancer
67,COLONCAN_A,Colon cancer mentioned
68,COLONAGETC_A,Age when first told had colon cancer
69,ESOPHCAN_A,Esophageal cancer mentioned
70,ESOPHAGETC_A,Age when first told had esophageal cancer
71,GALLBCAN_A,Gallbladder cancer mentioned
72,GALLBAGETC_A,Age when first told had gallbladder cancer
73,LARYNCAN_A,Larynx-trachea cancer mentioned
74,LARYNAGETC_A,Age when first told had larynx-trachea cancer
75,LEUKECAN_A,Leukemia mentioned
76,LEUKEAGETC_A,Age when first told had leukemia
77,LIVERCAN_A,Liver cancer mentioned
78,LIVERAGETC_A,Age when first told had liver cancer
79,LUNGCAN_A,Lung cancer mentioned
80,LUNGAGETC_A,Age when first told had lung cancer
81,LYMPHCAN_A,Lymphoma cancer mentioned
82,LYMPHAGETC_A,Age when first told had lymphoma
83,MELANCAN_A,Melanoma cancer mentioned
84,MELANAGETC_A,Age when first told had melanoma cancer
85,MOUTHCAN_A,"Mouth, tongue or lip cancer mentioned"
86,MOUTHAGETC_A,"Age when first told had mouth, tongue or lip cancer"
87,OVARYCAN_A,Ovarian cancer mentioned
88,OVARYAGETC_A,Age when first told had ovarian cancer
89,PANCRCAN_A,Pancreatic cancer mentioned
90,PANCRAGETC_A,Age when first told had pancreatic cancer
91,PROSTCAN_A,Prostate cancer mentioned
92,PROSTAGETC_A,Age when first told had prostate cancer
93,RECTUCAN_A,Rectal cancer mentioned
94,RECTUAGETC_A,Age when first told had rectal cancer
95,SKNMCAN_A,Skin melanoma cancer mentioned
96,SKNMAGETC_A,Age when first told had skin melanoma cancer
97,SKNNMCAN_A,Skin non-melanoma cancer mentioned
98,SKNNMAGETC_A,Age when first told skin non-melanoma cancer
99,SKNDKCAN_A,Skin cancer (don't know what kind) mentioned
100,SKNDKAGETC_A,"Age when first told had skin cancer (don't know whatkind)"
101,STOMACAN_A,Stomach cancer mentioned
102,STOMAAGETC_A,Age when first told had stomach cancer
103,THROACAN_A,Throat - pharynx cancer mentioned
104,THROAAGETC_A,Age when first told had throat-pharynx cancer
105,THYROCAN_A,Thyroid cancer mentioned
106,THYROAGETC_A,Age when first told had thyroid cancer
107,UTERUCAN_A,Uterine cancer mentioned
108,UTERUAGETC_A,Age when first told had uterine cancer
109,HDNCKCAN_A,Head and neck cancers mentioned
110,HDNCKAGETC_A,Age when first told had head or neck cancer
111,COLRCCAN_A,Colorectal cancer mentioned
112,COLRCAGETC_A,Age when first told had colon or rectal cancer
113,OTHERCANP_A,Other cancer mentioned
114,OTHERAGETC_A,Age when first told had other cancer
115,NUMCAN_A,Number of reported types of cancers
116,PREDIB_A,Ever had prediabetes
117,GESDIB_A,Gestational diabetes
118,DIBEV_A,Ever had diabetes
119,DIBAGETC_A,Age first diagnosed w/diabetes
120,DIFYRSTC_A,Years since first diagnosed w/diabetes
121,DIBPILL_A,Taking diabetic pills
122,DIBINS_A,Taking insulin
123,DIBINSTIME_A,Time from diabetes to insulin
124,DIBINSSTOP_A,Ever stop using insulin
125,DIBINSSTYR_A,Only stop insulin in first year
126,DIBTYPE_A,Diabetes type
127,COPDEV_A,"Ever been told you had COPD, emphysema, or chronicbronchitis?"
128,ARTHEV_A,Ever had arthritis
129,DEMENEV_A,Ever had dementia
130,ANXEV_A,Ever had anxiety disorder
131,DEPEV_A,Ever had depression
132,PREGNOW_A,Pregnant now
133,HEIGHTTC_A,"Total height in inches, public use"
134,WEIGHTLBTC_A,"Weight without shoes (pounds), public use"
135,BMICAT_A,"Categorical body mass index, public use"
136,WEARGLSS_A,Wear glasses/contact lenses
137,VISIONDF_A,Difficulty seeing
138,HEARAID_A,Use hearing aid
139,HEARAIDFR_A,How often use hearing aid
140,HEARINGDF_A,Difficulty hearing
141,DIFF_A,Difficulty walking/steps
142,EQUIP_A,Use equipment to get around
143,WLK100_A,Difficulty walking 100 yards
144,WLK13M_A,Difficulty walking 1/3 mile
145,STEPS_A,Difficulty walking steps
146,CANEWLKR_A,Use cane or walker
147,WCHAIR_A,Use wheelchair/scooter
148,PERASST_A,Use someone's assistance
149,NOEQWLK100_A,Difficulty walking 100 yards without aid
150,NOEQWLK13M_A,Difficulty walking 1/3 mile without aid
151,NOEQSTEPS_A,Difficulty walking steps without equipment
152,EQWLK100_A,Difficulty walking 100 yards with aid
153,EQWLK13M_A,Difficulty walking 1/3 mile with aid
154,EQSTEPS_A,Difficulty walking steps with equipment
155,COMDIFF_A,Difficulty communicating
156,COGMEMDFF_A,Difficulty remembering/concentrating
157,COGTYPEDFF_A,Remembering/concentrating or both
158,COGFRQDFF_A,Difficulty remembering-how often
159,COGAMTDFF_A,Difficulty remembering-how much
160,UPPSLFCR_A,Difficulty with self care
161,UPPRAISE_A,Difficulty raising soda bottle
162,UPPOBJCT_A,Difficulty using hands and fingers
163,DISAB3_A,"The Washington Group Short Set Composite DisabilityIndicator"
164,SOCERRNDS_A,Difficulty doing errands alone
165,SOCSCLPAR_A,Difficulty participating in social activities
166,SOCWRKLIM_A,Work limited due to health problem
167,NOTCOV_A,Coverage status as used in Health United States
168,COVER_A,Health insurance hierarchy under 65
169,COVER65_A,Health Insurance hierarchy 65+
170,SINCOVDE_A,Single service plan - dental
171,SINCOVVS_A,Single service plan - vision
172,SINCOVRX_A,Single service plan - prescription
173,MEDICARE_A,Medicare recode
174,MCPART_A,Type of Medicare coverage
175,MCCHOICE_A,Enrolled in Medicare Advantage Plan
176,MCHMO_A,Medicare HMO
177,MCADVR_A,Medicare Advantage Plan
178,MCPARTD_A,Medicare Part D
179,MEDICAID_A,Medicaid recode
180,MAXCHNG_A,Medicaid through Marketplace
181,MAPREM_A,Medicaid premium
182,MADEDUC_A,Medicaid deductible
183,MAHDHP_A,Medicaid HDHP
184,MAFLG_A,Medicaid reassignment flag
185,PRIVATE_A,Private health insurance recode
186,EXCHANGE_A,"Plan through Health Insurance Exchange, NCHS algorithm"
187,POLHLD1_A,Policyholder for private plan 1
