,Variable Name,Description
0,RECTYPE,Record type
1,SRVY_YR,Year of the National Health Interview Survey
2,HHX,Randomly assigned household number unique to a household
3,WTFA_A,Weight - Final Annual
4,URBRRL,2013 NCHS Urban-Rural Classification Scheme for Counties
5,REGION,Household region
6,PSTRAT,Pseudo-stratum for public-use file variance estimation
7,PPSU,Pseudo-PSU for public-use file variance estimation
8,HHRESPSA_FLG,"Sample Adult is the household respondent or the proxywho lives in the household"
9,INTV_QRT,Interview quarter
10,INTV_MON,Interview month
11,HHSTAT_A,Indicates person is the Sample Adult
12,ASTATNEW,Recoded ASTAT
13,AVAIL_A,Sample Adult Available
14,PROXY_A,Proxy Available
15,PROXYREL_A,Proxy's Relationship to Sample Adult
16,AGEP_A,Age of SA (top coded)
17,AGE65,Age 65 or older
18,SEX_A,Sex of Sample Adult
19,EDUCP_A,Educational level of sample adult
20,AFNOW,Full-time active duty screener
21,HISP_A,Recode: Hispanic ethnicity of SA
22,HISPALLP_A,Single and multiple race groups with Hispanic origin
23,HISDETP_A,Hispanic origin detail
24,RACEALLP_A,Single and multiple race groups
25,PCNT18UPTC,Top-coded count of persons 18 or older in the household
26,PCNTLT18TC,Top-coded count of persons under 18 in the household
27,PCNTADLT_A,"Number of adults in Sample Adult family, top-coded 3+"
28,PCNTKIDS_A,"Number of children in Sample Adult family, top-coded 3+"
29,OVER65FLG_A,Indicator for at least 1 person aged 65+ in SA family
30,MLTFAMFLG_A,Indicator for multifamily households
31,MAXEDUCP_A,"Highest level of education of all the adults in the SA'sfamily"
32,PHSTAT_A,General health status
33,LSATIS11R_A,Life satisfaction - 11 category question
34,LSATIS4R_A,Life satisfaction - 4 category question
35,LSROTATE_FLG,Life Satisfaction section rotation flag
36,HYPEV_A,Ever been told you had hypertension
37,HYPDIF_A,Told had hypertension on two or more visits
38,HYP12M_A,"Hypertension, past 12 months"
39,HYPMED_A,Now taking high blood pressure medication
40,CHLEV_A,Ever told you had high cholesterol
41,CHL12M_A,"High cholesterol, past 12 months"
42,CHLMED_A,Now taking cholesterol medication
43,CHDEV_A,Ever been told you had coronary heart disease
44,ANGEV_A,Ever been told you had angina
45,MIEV_A,Ever been told you had a heart attack
46,STREV_A,Ever been told you had a stroke
47,ASPMEDEV_A,Told to take low-dose aspirin
48,ASPMEDNOWN_A,Now following aspirin advice
49,ASPMEDSTP_A,Advise to stop taking aspirin
50,ASPONOWN_A,Taking low dose-aspirin on own
51,ASEV_A,Ever had asthma
52,ASTILL_A,Still have asthma
53,ASAT12M_A,Asthma episode
54,ASER12M_A,Asthma ER visit
55,CANEV_A,Ever been told you had cancer
56,BLADDCAN_A,Bladder cancer mentioned
57,BLADDAGETC_A,Age when first told had bladder cancer
58,BLOODCAN_A,Blood cancer mentioned
59,BLOODAGETC_A,Age when first told had blood cancer
60,BONECAN_A,Bone cancer mentioned
61,BONEAGETC_A,Age when first told had bone cancer
62,BRAINCAN_A,Brain cancer mentioned
63,BRAINAGETC_A,Age when first told had brain cancer
64,BREASCAN_A,Breast cancer mentioned
65,BREASAGETC_A,Age when first told had breast cancer
66,CERVICAN_A,Cervical cancer mentioned
67,CERVIAGETC_A,Age when first told had cervical cancer
68,COLONCAN_A,Colon cancer mentioned
69,COLONAGETC_A,Age when first told had colon cancer
70,ESOPHCAN_A,Esophageal cancer mentioned
71,ESOPHAGETC_A,Age when first told had esophageal cancer
72,GALLBCAN_A,Gallbladder cancer mentioned
73,GALLBAGETC_A,Age when first told had gallbladder cancer
74,LARYNCAN_A,Larynx-trachea cancer mentioned
75,LARYNAGETC_A,Age when first told had larynx-trachea cancer
76,LEUKECAN_A,Leukemia mentioned
77,LEUKEAGETC_A,Age when first told had leukemia
78,LIVERCAN_A,Liver cancer mentioned
79,LIVERAGETC_A,Age when first told had liver cancer
80,LUNGCAN_A,Lung cancer mentioned
81,LUNGAGETC_A,Age when first told had lung cancer
82,LYMPHCAN_A,Lymphoma cancer mentioned
83,LYMPHAGETC_A,Age when first told had lymphoma
84,MELANCAN_A,Melanoma cancer mentioned
85,MELANAGETC_A,Age when first told had melanoma cancer
86,MOUTHCAN_A,"Mouth, tongue or lip cancer mentioned"
87,MOUTHAGETC_A,"Age when first told had mouth, tongue or lip cancer"
88,OVARYCAN_A,Ovarian cancer mentioned
89,OVARYAGETC_A,Age when first told had ovarian cancer
90,PANCRCAN_A,Pancreatic cancer mentioned
91,PANCRAGETC_A,Age when first told had pancreatic cancer
92,PROSTCAN_A,Prostate cancer mentioned
93,PROSTAGETC_A,Age when first told had prostate cancer
94,RECTUCAN_A,Rectal cancer mentioned
95,RECTUAGETC_A,Age when first told had rectal cancer
96,SKNMCAN_A,Skin melanoma cancer mentioned
97,SKNMAGETC_A,Age when first told had skin melanoma cancer
98,SKNNMCAN_A,Skin non-melanoma cancer mentioned
99,SKNNMAGETC_A,Age when first told skin non-melanoma cancer
100,SKNDKCAN_A,Skin cancer (don't know what kind) mentioned
101,SKNDKAGETC_A,"Age when first told had skin cancer (don't know whatkind)"
102,STOMACAN_A,Stomach cancer mentioned
103,STOMAAGETC_A,Age when first told had stomach cancer
104,THROACAN_A,Throat - pharynx cancer mentioned
105,THROAAGETC_A,Age when first told had throat-pharynx cancer
106,THYROCAN_A,Thyroid cancer mentioned
107,THYROAGETC_A,Age when first told had thyroid cancer
108,UTERUCAN_A,Uterine cancer mentioned
109,UTERUAGETC_A,Age when first told had uterine cancer
110,HDNCKCAN_A,Head and neck cancers mentioned
111,HDNCKAGETC_A,Age when first told had head or neck cancer
112,COLRCCAN_A,Colorectal cancer mentioned
113,COLRCAGETC_A,Age when first told had colon or rectal cancer
114,OTHERCANP_A,Other cancer mentioned
115,OTHERAGETC_A,Age when first told had other cancer
116,NUMCAN_A,Number of reported types of cancers
117,PREDIB_A,Ever had prediabetes
118,GESDIB_A,Gestational diabetes
119,DIBEV_A,Ever had diabetes
120,DIBAGETC_A,Age first diagnosed w/diabetes
121,DIFYRSTC1_A,Years since first diagnosed w/diabetes
122,DIBPILL_A,Taking diabetic pills
123,DIBINS_A,Taking insulin
124,DIBINSTIME_A,Time from diabetes to insulin
125,DIBINSSTOP_A,Ever stop using insulin
126,DIBINSSTYR_A,Only stop insulin in first year
127,INSSKIP12M_A,"Skipped insulin, past 12m"
128,INSLESS12M_A,"Took less insulin, past 12m"
129,INSDLY12M_A,"Delayed buying insulin, past 12m"
130,DIBTYPE_A,Diabetes type
131,DIBSTRESS_A,Overwhelmed by diabetes
132,DIBCSTRESS_A,Change in diabetes distress
133,COPDEV_A,"Ever been told you had COPD, emphysema, or chronicbronchitis?"
134,ARTHEV_A,Ever had arthritis
135,DEMENEV_A,Ever had dementia
136,ANXEV_A,Ever had anxiety disorder
137,DEPEV_A,Ever had depression
138,KIDWEAKEV_A,Ever had weak/failing kidneys
139,HEPEV_A,Ever had hepatitis
140,LIVEREV_A,Ever had cirrhosis/liver condition
141,CFSEV_A,Ever had Chronic Fatigue Syndrome
142,CFSNOW_A,Still have Chronic Fatigue Syndrome
143,COLDFLU12M_A,Cold or flu 12m
144,DRYMTH12M_A,Dry mouth 12m
145,MEDRXTRT_A,Weakened immune system due to prescriptions
146,HLTHCOND_A,Weakened immune system due to health condition
147,EPIEV_A,Ever had epilepsy
148,EPIMED_A,Take medication for epilepsy
149,EPINUMSEZP_A,How many seizures past 12 months
150,EPIDR_A,See a doctor for epilepsy
151,CURRESP_A,Current respiratory allergy
152,DXRESP_A,Respiratory allergy diagnosis
153,CURFOOD_A,Current food allergy
154,DXFOOD_A,Food allergy diagnosis
155,CURSKIN_A,Current skin allergy
156,DXSKIN_A,Skin allergy diagnosis
157,PREGNOW_A,Pregnant now
158,HEIGHTTC_A,"Height without shoes (inches), public use"
159,WEIGHTLBTC_A,"Weight without shoes (pounds), public use"
160,BMICAT_A,"Categorical Body Mass Index, public use"
161,WEARGLSS_A,Wear glasses/contact lenses
162,VISIONDF_A,Difficulty seeing
163,HEARAID_A,Use hearing aid
164,HEARAIDFR_A,How often use hearing aid
165,HEARINGDF_A,Difficulty hearing
166,HEARQTRM_A,Hearing conversation in quiet room
167,HEARNYRM_A,Hearing conversation in noisy room
168,DIFF_A,Difficulty walking/steps
169,EQUIP_A,Use equipment to get around
170,WLK100_A,Difficulty walking 100 yards
171,WLK13M_A,Difficulty walking 1/3 mile
172,STEPS_A,Difficulty walking steps
173,CANEWLKR_A,Use cane or walker
174,WCHAIR_A,Use wheelchair/scooter
175,PERASST_A,Use someone's assistance
176,NOEQWLK100_A,Difficulty walking 100 yards without aid
177,NOEQWLK13M_A,Difficulty walking 1/3 mile without aid
178,NOEQSTEPS_A,Difficulty walking steps without equipment
179,EQWLK100_A,Difficulty walking 100 yards with aid
180,EQWLK13M_A,Difficulty walking 1/3 mile with aid
181,EQSTEPS_A,Difficulty walking steps with equipment
182,COMDIFF_A,Difficulty communicating
183,COMUSESL_A,Use sign language
184,COGMEMDFF_A,Difficulty remembering/concentrating
185,COGTYPEDFF_A,Remembering/concentrating or both
186,COGFRQDFF_A,Difficulty remembering-how often
187,COGAMTDFF_A,Difficulty remembering-how much
