,Variable Name,Description
0,RECTYPE,File type identifier
1,SRVY_YR,Year of National Health Interview Survey
2,HHX,Household Number
3,INTV_QRT,Interview Quarter
4,INTV_MON,Assignment/Interview Month
5,FMX,Family Number
6,FPX,Person Number (Within family)
7,WTIA_SA,Weight - Interim Annual
8,WTFA_SA,Weight - Final Annual
9,REGION,Region
10,PSTRAT,Pseudo-stratum for public-use file variance estimation
11,PPSU,Pseudo-PSU for public-use file variance estimation
12,SEX,Sex
13,HISPAN_I,Hispanic subgroup detail
14,RACERPI2,OMB groups w/multiple race
15,MRACRPI2,Race coded to single/multiple race group
16,MRACBPI2,Race coded to single/multiple race group
17,AGE_P,Age
18,R_MARITL,Marital Status
19,PAR_STAT,Sample adult is parent to 1+ minor child(ren) in the family
20,PROXYSA,Sample adult status
21,PROX1,Knowledgeable proxy for Sample Adult available
22,PROX2,Relationship of SA proxy to SA
23,LATEINTA,Late Sample Adult interviews
24,DOINGLWA,Corrected employment status last week
25,WHYNOWKA,Main reason for not working last week
26,EVERWRK,Ever worked
27,INDSTRN1,Detailed industry classification based on 2012 Census codes
28,INDSTRN2,Simple industry classification based on 2012 Census codes
29,OCCUPN1,Detailed occupation classification based on 2010 Census Codes
30,OCCUPN2,Simple occupation classification based on 2010 Census codes
31,SUPERVIS,Supervise other employees as part of job
32,WRKCATA,Class of worker
33,BUSINC1A,Current job an incorporated business
34,LOCALL1B,Number of employees at work
35,YRSWRKPA,Number of years on the job
36,WRKLONGH,Current/most recent job also longest held job
37,HOURPDA,Paid by the hour at current or most recent job
38,PDSICKA,Paid sick leave at current or most recent job
39,ONEJOB,Have more than one job
40,WRKLYR4,"Work status: last week, past 12 months"
41,HYPEV,Ever been told you have hypertension
42,HYPDIFV,Ever had hypertension on 2+ visits
43,HYPYR1,"Had hypertension, past 12 months"
44,HYPMDEV2,Ever prescribed medicine for high blood pressure
45,HYPMED2,Now taking prescribed medicine for high blood pressure
46,CHLEV,Ever told you had high cholesterol
47,CHLYR,"Had high cholesterol, past 12 months"
48,CHLMDEV2,Ever prescribed medicine to lower cholesterol
49,CHLMDNW2,Now taking prescribed medicine to lower cholesterol
50,CHDEV,Ever been told you had coronary heart disease
51,ANGEV,Ever been told you had angina pectoris
52,MIEV,Ever been told you had a heart attack
53,HRTEV,Ever been told you had a heart condition/disease
54,STREV,Ever been told you had a stroke
55,EPHEV,Ever been told you had emphysema
56,COPDEV,Ever been told you had COPD
57,ASPMEDEV,Ever been told to take low-dose aspirin
58,ASPMEDAD,Following low-dose aspirin advice
59,ASPMDMED,Advised to stop taking low-dose aspirin
60,ASPONOWN,Taking low-dose aspirin on own
61,AASMEV,Ever been told you had asthma
62,AASSTILL,Still have asthma
63,AASAGE,Age when first told had asthma
64,AASAGE16,Less than 16 when first told had asthma
65,AASMYR,Had an asthma episode/attack past 12 m
66,AASERYR1,Had visit to ER due to asthma past 12 m
67,AASMHSP,Overnight hospital stay due to asthma past 12 m
68,AWZMSWKP,Number days unable to work or get housework done due to asthma past 12 m
69,AASMPMED,Used prescription oral inhaler for quick relief past 3 months
70,AASMTYP,Rescue asthma medication most often used is inhaler/disk OR nebulizer
71,AASMCAN,Used more than 3 canisters or disks of mouth inhaler past 3 months
72,AASMDTP2,How often currently taking preventive asthma medication
73,AASWMP,Ever given an asthma action plan by MD/health professional
74,AASCLASS,Ever take class on how to manage asthma
75,AAS_REC,Ever taught by MD/health professional how to recognize asthma episode
76,AAS_RES,Ever taught by MD/health professional how to respond to asthma episode
77,AAS_MON,Ever taught by MD/health professional how to monitor peak flow for daily
78,AAPENVLN,Ever advised to change home/school/work environment to improve asthma
79,AROUTINP,Number times had routine asthma checkup past 12 m
80,AASYMPT,MD/health professional asked at last visit how often experienced asthma
81,AARESCUE,MD/health professional asked at last visit how often used quick relief inhaler
82,AAACTLIM,MD/health professional asked at last visit if asthma symptoms limited activities
83,AASSTAT,"Asthma is better, worse, about the same compared to when first told had asthma"
84,AASEMP,Employed when asthma developed or worsened
85,AASWKREL,Ever told asthma caused by work or made worse by work
86,AASDWKRL,Ever discuss whether work caused or made asthma worse
87,ULCEV,Ever been told you have an ulcer
88,ULCYR,Had ulcer in past 12 m
89,CANEV,Ever told by a doctor you had cancer
90,CNKIND1,What kind of cancer ... Bladder
91,CNKIND2,What kind of cancer ... Blood
92,CNKIND3,What kind of cancer ... Bone
93,CNKIND4,What kind of cancer ... Brain
94,CNKIND5,What kind of cancer ... Breast
95,CNKIND6,What kind of cancer ... Cervix
96,CNKIND7,What kind of cancer ... Colon
97,CNKIND8,What kind of cancer ... Esophagus
98,CNKIND9,What kind of cancer ... Gallbladder
99,CNKIND10,What kind of cancer ... Kidney
100,CNKIND11,What kind of cancer ... larynx-windpipe
101,CNKIND12,What kind of cancer ... Leukemia
102,CNKIND13,What kind of cancer ... Liver
103,CNKIND14,What kind of cancer ... Lung
104,CNKIND15,What kind of cancer ... Lymphoma
105,CNKIND16,What kind of cancer ... Melanoma
106,CNKIND17,What kind of cancer ... mouth/tongue/lip
107,CNKIND18,What kind of cancer ... Ovary
108,CNKIND19,What kind of cancer ... Pancreas
109,CNKIND20,What kind of cancer ... Prostate
110,CNKIND21,What kind of cancer ... Rectum
111,CNKIND22,What kind of cancer ... skin (non-melanoma)
112,CNKIND23,What kind of cancer ... skin (DK kind)
113,CNKIND24,What kind of cancer ... soft tissue (muscle or fat)
114,CNKIND25,What kind of cancer ... Stomach
115,CNKIND26,What kind of cancer ... Testis
116,CNKIND27,What kind of cancer ... throat - pharynx
117,CNKIND28,What kind of cancer ... Thyroid
118,CNKIND29,What kind of cancer ... Uterus
119,CNKIND30,What kind of cancer ... Other
120,CNKIND31,What kind of cancer ... more than 3 kinds
121,CANAGE1,Age first diagnosed w/bladder cancer
122,CANAGE2,Age first diagnosed w/blood cancer
123,CANAGE3,Age first diagnosed w/bone cancer
124,CANAGE4,Age first diagnosed w/brain cancer
125,CANAGE5,Age first diagnosed w/breast cancer
126,CANAGE6,Age first diagnosed w/cervical cancer
127,CANAGE7,Age first diagnosed w/colon cancer
128,CANAGE8,Age first diagnosed w/esophageal cancer
129,CANAGE9,Age first diagnosed w/gallbladder cancer
130,CANAGE10,Age first diagnosed w/kidney cancer
131,CANAGE11,Age first diagnosed w/larynx-windpipe cancer
132,CANAGE12,Age first diagnosed w/leukemia
133,CANAGE13,Age first diagnosed w/liver cancer
134,CANAGE14,Age first diagnosed w/lung cancer
135,CANAGE15,Age first diagnosed w/lymphoma
136,CANAGE16,Age first diagnosed w/melanoma
137,CANAGE17,Age first diagnosed w/mouth/tongue/lip cancer
138,CANAGE18,Age first diagnosed w/ovarian cancer
139,CANAGE19,Age first diagnosed w/pancreatic cancer
140,CANAGE20,Age first diagnosed w/prostate cancer
141,CANAGE21,Age first diagnosed w/rectal cancer
142,CANAGE22,Age first diagnosed w/skin (non-melanoma) cancer
143,CANAGE23,Age first diagnosed w/skin (DK kind) cancer
144,CANAGE24,Age first diagnosed w/soft tissue cancer
145,CANAGE25,Age first diagnosed w/stomach cancer
146,CANAGE26,Age first diagnosed w/testicular cancer
147,CANAGE27,Age first diagnosed w/throat/pharynx cancer
148,CANAGE28,Age first diagnosed w/thyroid cancer
149,CANAGE29,Age first diagnosed w/uterine cancer
150,CANAGE30,Age first diagnosed w/other cancer
151,DIBEV1,Ever been told that you have diabetes
152,DIBPRE2,Ever had prediabetes or other symptoms
153,DIBAGE1,Age first diagnosed w/diabetes
154,DIFAGE2,Years since first diagnosed w/diabetes
155,DIBPILL1,NOW taking diabetic pills
156,INSLN1,NOW taking insulin
157,AHAYFYR,"Told that you had hay fever, past 12 m"
158,SINYR,"Told that you had sinusitis, past 12 m"
159,CBRCHYR,"Told you had chronic bronchitis, 12 m"
160,KIDWKYR,"Told you had weak/failing kidneys, 12 m"
161,LIVYR,"Told you had liver condition, past 12 m"
